channel_name,cycle_name,marker_name
1,Biomarker #01,DAPI
2,Biomarker #02,CD8
3,Biomarker #03,PanCK
4,Biomarker #04,CD3e
5,Biomarker #05,CD163
6,Biomarker #06,CD20
7,Biomarker #07,CD4
8,Biomarker #08,FAP
9,Biomarker #09,CD138
10,Biomarker #10,CD11c
11,Biomarker #11,CD66b
12,Biomarker #12,aSMA
13,Biomarker #13,CD68
14,Biomarker #14,Ki67
15,Biomarker #15,CD31
16,Biomarker #16,Collagen_IV
17,Biomarker #17,Granzyme_B
18,Biomarker #18,MMP9
19,Biomarker #19,PD-1
20,Biomarker #20,CD44
21,Biomarker #21,PD-L1
22,Biomarker #22,E-cadherin
23,Biomarker #23,LAG3
24,Biomarker #24,Mac2
25,Biomarker #25,FOXP3
26,Biomarker #26,CD14
27,Biomarker #27,EpCAM
28,Biomarker #28,CD21
29,Biomarker #29,CD45
30,Biomarker #30,MPO
31,Biomarker #31,TCF-1
32,Biomarker #32,GATA3
33,Biomarker #33,ICOS
34,Biomarker #34,HLA-A
35,Biomarker #35,Bcl-2
36,Biomarker #36,HLA-E
37,Biomarker #37,CD45RO
38,Biomarker #38,VISTA
39,Biomarker #39,HIF1A
40,Biomarker #40,CD39
41,Biomarker #41,CD40
42,Biomarker #42,HLA-DR
